ID,Prediction
0OS9LVX X 2020-01-02,438.2024550832258
0OS9LVX X 2020-01-03,438.2024550832258
0OS9LVX X 2020-01-04,438.2024550832258
0OS9LVX X 2020-01-05,438.2024550832258
0OS9LVX X 2020-01-06,438.2024550832258
0OS9LVX X 2020-01-07,438.2024550832258
0OS9LVX X 2020-01-08,438.2024550832258
0OS9LVX X 2020-01-09,438.2024550832258
0OS9LVX X 2020-01-10,438.2024550832258
0OS9LVX X 2020-01-11,438.2024550832258
0OS9LVX X 2020-01-12,438.2024550832258
0OS9LVX X 2020-01-13,438.2024550832258
0OS9LVX X 2020-01-14,438.2024550832258
0OS9LVX X 2020-01-15,438.2024550832258
0OS9LVX X 2020-01-16,438.2024550832258
0OS9LVX X 2020-01-17,438.2024550832258
0OS9LVX X 2020-01-18,438.2024550832258
0OS9LVX X 2020-01-19,438.2024550832258
0OS9LVX X 2020-01-20,438.2024550832258
0OS9LVX X 2020-01-21,438.2024550832258
0OS9LVX X 2020-01-22,438.2024550832258
0OS9LVX X 2020-01-23,438.2024550832258
0OS9LVX X 2020-01-24,438.2024550832258
0OS9LVX X 2020-01-25,438.2024550832258
0OS9LVX X 2020-01-26,438.2024550832258
0OS9LVX X 2020-01-27,438.2024550832258
0OS9LVX X 2020-01-28,438.2024550832258
0OS9LVX X 2020-01-29,438.2024550832258
0OS9LVX X 2020-01-30,438.2024550832258
0OS9LVX X 2020-01-31,438.2024550832258
0OS9LVX X 2020-02-01,438.2024550832258
0OS9LVX X 2020-02-02,336.9002762865466
0OS9LVX X 2020-02-03,438.2024550832258
0OS9LVX X 2020-02-04,438.2024550832258
0OS9LVX X 2020-02-05,438.2024550832258
0OS9LVX X 2020-02-06,438.2024550832258
0OS9LVX X 2020-02-07,438.2024550832258
0OS9LVX X 2020-02-08,438.2024550832258
0OS9LVX X 2020-02-09,438.2024550832258
0OS9LVX X 2020-02-10,438.2024550832258
0OS9LVX X 2020-02-11,438.2024550832258
0OS9LVX X 2020-02-12,438.2024550832258
0OS9LVX X 2020-02-13,438.2024550832258
0OS9LVX X 2020-02-14,438.2024550832258
0OS9LVX X 2020-02-15,438.2024550832258
0OS9LVX X 2020-02-16,438.2024550832258
0OS9LVX X 2020-02-17,438.2024550832258
0OS9LVX X 2020-02-18,438.2024550832258
0OS9LVX X 2020-02-19,438.2024550832258
0OS9LVX X 2020-02-20,438.2024550832258
0OS9LVX X 2020-02-21,438.2024550832258
0OS9LVX X 2020-02-22,438.2024550832258
0OS9LVX X 2020-02-23,438.2024550832258
0OS9LVX X 2020-02-24,438.2024550832258
0OS9LVX X 2020-02-25,438.2024550832258
0OS9LVX X 2020-02-26,438.2024550832258
0OS9LVX X 2020-02-27,438.2024550832258
0OS9LVX X 2020-02-28,438.2024550832258
0OS9LVX X 2020-02-29,438.2024550832258
0OS9LVX X 2020-03-01,438.2024550832258
0OS9LVX X 2020-03-02,438.2024550832258
0OS9LVX X 2020-03-03,438.2024550832258
0OS9LVX X 2020-03-04,438.2024550832258
0OS9LVX X 2020-03-05,438.2024550832258
0OS9LVX X 2020-03-06,438.2024550832258
0OS9LVX X 2020-03-07,438.2024550832258
0OS9LVX X 2020-03-08,438.2024550832258
0OS9LVX X 2020-03-09,438.2024550832258
0OS9LVX X 2020-03-10,438.2024550832258
0OS9LVX X 2020-03-11,438.2024550832258
0OS9LVX X 2020-03-12,438.2024550832258
0OS9LVX X 2020-03-13,438.2024550832258
0OS9LVX X 2020-03-14,438.2024550832258
0OS9LVX X 2020-03-15,438.2024550832258
0OS9LVX X 2020-03-16,438.2024550832258
0OS9LVX X 2020-03-17,438.2024550832258
0OS9LVX X 2020-03-18,438.2024550832258
0OS9LVX X 2020-03-19,438.2024550832258
0OS9LVX X 2020-03-20,438.2024550832258
0OS9LVX X 2020-03-21,438.2024550832258
0OS9LVX X 2020-03-22,438.2024550832258
0OS9LVX X 2020-03-23,438.2024550832258
0OS9LVX X 2020-03-24,438.2024550832258
0OS9LVX X 2020-03-25,438.2024550832258
0OS9LVX X 2020-03-26,438.2024550832258
0OS9LVX X 2020-03-27,438.2024550832258
0OS9LVX X 2020-03-28,435.73587078870787
0OS9LVX X 2020-03-29,435.73587078870787
0OS9LVX X 2020-03-30,435.73587078870787
0OS9LVX X 2020-03-31,435.73587078870787
0OS9LVX X 2020-04-01,435.73587078870787
0OS9LVX X 2020-04-02,435.73587078870787
0OS9LVX X 2020-04-03,351.3078928035347
0OS9LVX X 2020-04-04,435.73587078870787
0Q2LTOG X 2020-01-02,438.2024550832258
0Q2LTOG X 2020-01-03,288.9708593237974
0Q2LTOG X 2020-01-04,336.9002762865466
0Q2LTOG X 2020-01-05,261.06463722092866
0Q2LTOG X 2020-01-06,438.2024550832258
0Q2LTOG X 2020-01-07,438.2024550832258
0Q2LTOG X 2020-01-08,438.2024550832258
0Q2LTOG X 2020-01-09,279.38186102143146
0Q2LTOG X 2020-01-10,336.9002762865466
0Q2LTOG X 2020-01-11,261.06463722092866
0Q2LTOG X 2020-01-12,288.0186615358605
0Q2LTOG X 2020-01-13,254.98031482424938
0Q2LTOG X 2020-01-14,336.9002762865466
0Q2LTOG X 2020-01-15,259.07915951359695
0Q2LTOG X 2020-01-16,261.06463722092866
0Q2LTOG X 2020-01-17,254.98031482424938
0Q2LTOG X 2020-01-18,267.6798362517473
0Q2LTOG X 2020-01-19,438.2024550832258
0Q2LTOG X 2020-01-20,336.9002762865466
0Q2LTOG X 2020-01-21,249.97782512170323
0Q2LTOG X 2020-01-22,438.2024550832258
0Q2LTOG X 2020-01-23,336.9002762865466
0Q2LTOG X 2020-01-24,272.49145014066977
0Q2LTOG X 2020-01-25,438.2024550832258
0Q2LTOG X 2020-01-26,336.9002762865466
0Q2LTOG X 2020-01-27,438.2024550832258
0Q2LTOG X 2020-01-28,437.25025729528886
0Q2LTOG X 2020-01-29,438.2024550832258
0Q2LTOG X 2020-01-30,438.2024550832258
0Q2LTOG X 2020-01-31,438.2024550832258
0Q2LTOG X 2020-02-01,410.5291575112848
0Q2LTOG X 2020-02-02,335.9480784986097
0Q2LTOG X 2020-02-03,279.38186102143146
0Q2LTOG X 2020-02-04,288.9708593237974
0Q2LTOG X 2020-02-05,209.63567401112263
0Q2LTOG X 2020-02-06,238.96693793701323
0Q2LTOG X 2020-02-07,336.9002762865466
0Q2LTOG X 2020-02-08,288.9708593237974
0Q2LTOG X 2020-02-09,254.98031482424938
0Q2LTOG X 2020-02-10,410.5291575112848
0Q2LTOG X 2020-02-11,336.9002762865466
0Q2LTOG X 2020-02-12,438.2024550832258
0Q2LTOG X 2020-02-13,437.25025729528886
0Q2LTOG X 2020-02-14,410.5291575112848
0Q2LTOG X 2020-02-15,438.2024550832258
0Q2LTOG X 2020-02-16,410.5291575112848
0Q2LTOG X 2020-02-17,261.06463722092866
0Q2LTOG X 2020-02-18,229.27886674680855
0Q2LTOG X 2020-02-19,336.9002762865466
0Q2LTOG X 2020-02-20,438.2024550832258
0Q2LTOG X 2020-02-21,438.2024550832258
0Q2LTOG X 2020-02-22,336.9002762865466
0Q2LTOG X 2020-02-23,288.9708593237974
0Q2LTOG X 2020-02-24,438.2024550832258
0Q2LTOG X 2020-02-25,438.2024550832258
0Q2LTOG X 2020-02-26,438.2024550832258
0Q2LTOG X 2020-02-27,410.5291575112848
0Q2LTOG X 2020-02-28,438.2024550832258
0Q2LTOG X 2020-02-29,437.25025729528886
0Q2LTOG X 2020-03-01,438.2024550832258
0Q2LTOG X 2020-03-02,279.38186102143146
0Q2LTOG X 2020-03-03,336.9002762865466
0Q2LTOG X 2020-03-04,336.9002762865466
0Q2LTOG X 2020-03-05,258.12696172566
0Q2LTOG X 2020-03-06,279.38186102143146
0Q2LTOG X 2020-03-07,438.2024550832258
0Q2LTOG X 2020-03-08,410.5291575112848
0Q2LTOG X 2020-03-09,438.2024550832258
0Q2LTOG X 2020-03-10,438.2024550832258
0Q2LTOG X 2020-03-11,254.98031482424938
0Q2LTOG X 2020-03-12,438.2024550832258
0Q2LTOG X 2020-03-13,336.9002762865466
0Q2LTOG X 2020-03-14,288.9708593237974
0Q2LTOG X 2020-03-15,438.2024550832258
0Q2LTOG X 2020-03-16,258.12696172566
0Q2LTOG X 2020-03-17,438.2024550832258
0Q2LTOG X 2020-03-18,410.5291575112848
0Q2LTOG X 2020-03-19,438.2024550832258
0Q2LTOG X 2020-03-20,438.2024550832258
0Q2LTOG X 2020-03-21,438.2024550832258
0Q2LTOG X 2020-03-22,288.9708593237974
0Q2LTOG X 2020-03-23,438.2024550832258
0Q2LTOG X 2020-03-24,410.5291575112848
0Q2LTOG X 2020-03-25,438.2024550832258
0Q2LTOG X 2020-03-26,438.2024550832258
0Q2LTOG X 2020-03-27,438.2024550832258
0Q2LTOG X 2020-03-28,246.27856358811837
0Q2LTOG X 2020-03-29,270.02486584615184
0Q2LTOG X 2020-03-30,286.5042750292795
0Q2LTOG X 2020-03-31,334.4336919920287
0Q2LTOG X 2020-04-01,435.73587078870787
0Q2LTOG X 2020-04-02,334.4336919920287
0Q2LTOG X 2020-04-03,202.07629704410624
0Q2LTOG X 2020-04-04,236.50035364249527
15WCXN1 X 2020-01-02,261.06463722092866
15WCXN1 X 2020-01-03,288.9708593237974
15WCXN1 X 2020-01-04,336.9002762865466
15WCXN1 X 2020-01-05,336.9002762865466
15WCXN1 X 2020-01-06,437.25025729528886
15WCXN1 X 2020-01-07,336.9002762865466
15WCXN1 X 2020-01-08,288.9708593237974
